codigo_alt,entidad,tipo_entidad,departamento,anio,clasificacion_ofpuj,clas_gen,total_recaudo
17001,Manizales,Municipio,Caldas,2024,Impuesto predial unificado,Ingresos propios,104694569619
17001,Manizales,Municipio,Caldas,2024,Impuesto predial unificado,Ingresos propios,348674124
17001,Manizales,Municipio,Caldas,2024,Impuesto predial unificado,Ingresos propios,1173986948
17001,Manizales,Municipio,Caldas,2024,Impuesto predial unificado,Ingresos propios,344750218
17001,Manizales,Municipio,Caldas,2024,Impuesto predial unificado,Ingresos propios,10836713881
17001,Manizales,Municipio,Caldas,2024,Impuesto predial unificado,Ingresos propios,6523917481
17001,Manizales,Municipio,Caldas,2024,Impuesto predial unificado,Ingresos propios,19630645
17001,Manizales,Municipio,Caldas,2024,Impuesto predial unificado,Ingresos propios,66096445
17001,Manizales,Municipio,Caldas,2024,Sobretasa a la gasolina,Ingresos propios,22343459306
17001,Manizales,Municipio,Caldas,2024,Sobretasa a la gasolina,Ingresos propios,67232074
17001,Manizales,Municipio,Caldas,2024,Sobretasa a la gasolina,Ingresos propios,226370620
17001,Manizales,Municipio,Caldas,2024,Impuesto de industria y comercio,Ingresos propios,88607371260
17001,Manizales,Municipio,Caldas,2024,Impuesto de industria y comercio,Ingresos propios,266621980
17001,Manizales,Municipio,Caldas,2024,Impuesto de industria y comercio,Ingresos propios,897717104
17001,Manizales,Municipio,Caldas,2024,Impuesto complementario de avisos y tableros,Ingresos propios,8651008139
17001,Manizales,Municipio,Caldas,2024,Impuesto complementario de avisos y tableros,Ingresos propios,26031118
17001,Manizales,Municipio,Caldas,2024,Impuesto complementario de avisos y tableros,Ingresos propios,87646861
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,231740876
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,697315
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,2347861
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,14337990
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,1415202576
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,4258383
17001,Manizales,Municipio,Caldas,2024,Impuesto de delineacion,Ingresos propios,37409062
17001,Manizales,Municipio,Caldas,2024,Impuesto de delineacion,Ingresos propios,11110491
17001,Manizales,Municipio,Caldas,2024,Impuesto de delineacion,Ingresos propios,3692386612
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,1799903873
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,2524535
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,749787
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,249179151
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,61780255
17001,Manizales,Municipio,Caldas,2024,Sobretasa bomberil,Ingresos propios,3978540702
17001,Manizales,Municipio,Caldas,2024,Impuesto de transporte por oleoductos y gasoductos,Ingresos propios,632166406
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,96884214
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,291527
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,981573
17001,Manizales,Municipio,Caldas,2024,Otros ingresos tributarios,Ingresos propios,591357706
17001,Manizales,Municipio,Caldas,2024,Tasa prodeporte y recreacion,Ingresos propios,1260612942
17001,Manizales,Municipio,Caldas,2024,Estampillas,Ingresos propios,11929351190
17001,Manizales,Municipio,Caldas,2024,Estampillas,Ingresos propios,3541294293
17001,Manizales,Municipio,Caldas,2024,Estampillas,Ingresos propios,1713044012
17001,Manizales,Municipio,Caldas,2024,"Tasas, multas y contribuciones",Ingresos propios,257895800
17001,Manizales,Municipio,Caldas,2024,"Tasas, multas y contribuciones",Ingresos propios,98260421
17001,Manizales,Municipio,Caldas,2024,"Tasas, multas y contribuciones",Ingresos propios,88777698
17001,Manizales,Municipio,Caldas,2024,"Tasas, multas y contribuciones",Ingresos propios,867127552
17001,Manizales,Municipio,Caldas,2024,"Tasas, multas y contribuciones",Ingresos propios,137846239
17001,Manizales,Municipio,Caldas,2024,"Tasas, multas y contribuciones",Ingresos propios,34123000
17001,Manizales,Municipio,Caldas,2024,"Tasas, multas y contribuciones",Ingresos propios,32803272
17001,Manizales,Municipio,Caldas,2024,"Tasas, multas y contribuciones",Ingresos propios,57861599
17001,Manizales,Municipio,Caldas,2024,"Tasas, multas y contribuciones",Ingresos propios,48081266
17001,Manizales,Municipio,Caldas,2024,"Tasas, multas y contribuciones",Ingresos propios,98364102
